SampleID	WellPositionFromJingxin	NewLayoutWellPosition	BioRep	Plate	Treatment	R1	R2
NewMolecule.D04-2	D04	E04	2	2	D04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E4_S84_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E4_S84_R2_001.fastq.gz
NewMolecule.D05-2	D05	D04	2	2	D05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D4_S83_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D4_S83_R2_001.fastq.gz
NewMolecule.D06-2	D06	C04	2	2	D06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C4_S82_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C4_S82_R2_001.fastq.gz
NewMolecule.D07-2	D07	B04	2	2	D07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B4_S81_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B4_S81_R2_001.fastq.gz
NewMolecule.D08-2	D08	A04	2	2	D08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-A4_S80_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-A4_S80_R2_001.fastq.gz
NewMolecule.D09-2	D09	D06	2	2	D09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D6_S99_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D6_S99_R2_001.fastq.gz
NewMolecule.D10-2	D10	C06	2	2	D10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C6_S98_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C6_S98_R2_001.fastq.gz
NewMolecule.D11-2	D11	B06	2	2	D11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B6_S97_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B6_S97_R2_001.fastq.gz
NewMolecule.D12-2	D12	A06	2	2	D12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-A6_S96_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-A6_S96_R2_001.fastq.gz
NewMolecule.E01-2	E01	H07	2	2	E01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-H7_S110_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-H7_S110_R2_001.fastq.gz
NewMolecule.E02-2	E02	G07	2	2	E02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-G7_S109_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-G7_S109_R2_001.fastq.gz
NewMolecule.E03-2	E03	F07	2	2	E03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F7_S108_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F7_S108_R2_001.fastq.gz
NewMolecule.E04-2	E04	E07	2	2	E04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E7_S107_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E7_S107_R2_001.fastq.gz
NewMolecule.E05-4	E05	D07	4	2	DMSO	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D7_S106_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D7_S106_R2_001.fastq.gz
NewMolecule.E06-5	E06	C07	5	2	DMSO	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C7_S105_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C7_S105_R2_001.fastq.gz
NewMolecule.E07-6	E07	B07	6	2	DMSO	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B7_S104_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B7_S104_R2_001.fastq.gz
